symbol,timestamp,sent_at,open,high,low,current_price,previous_close,change,change_percent
GOOGL,2025-10-17T15:00:00,2025-10-17T15:00:00.000000,253.25,253.77000427246094,253.25,253.6201934814453,253.6201934814453,0.0,0.0
GOOGL,2025-10-17T15:05:00,2025-10-17T15:05:00.000000,253.6199951171875,253.69500732421875,253.34010314941406,253.5,253.6201934814453,-0.1201934814453125,-0.047391132305127655
GOOGL,2025-10-17T15:10:00,2025-10-17T15:10:00.000000,253.4882049560547,253.5699005126953,253.17999267578125,253.35000610351562,253.5,-0.149993896484375,-0.0591691899346647
GOOGL,2025-10-17T15:15:00,2025-10-17T15:15:00.000000,253.3300018310547,253.47000122070312,253.1999969482422,253.33999633789062,253.35000610351562,-0.010009765625,-0.003950963246043947
GOOGL,2025-10-17T15:20:00,2025-10-17T15:20:00.000000,253.32000732421875,253.75999450683594,253.29629516601562,253.62399291992188,253.33999633789062,0.28399658203125,0.11210096555479196
GOOGL,2025-10-17T15:25:00,2025-10-17T15:25:00.000000,253.64999389648438,253.64999389648438,253.07000732421875,253.14999389648438,253.62399291992188,-0.4739990234375,-0.1868904506945281
GOOGL,2025-10-17T15:30:00,2025-10-17T15:30:00.000000,253.13999938964844,253.1999969482422,252.65499877929688,252.88999938964844,253.14999389648438,-0.2599945068359375,-0.10270373814121121
GOOGL,2025-10-17T15:35:00,2025-10-17T15:35:00.000000,252.92999267578125,253.27000427246094,252.77000427246094,253.24000549316406,252.88999938964844,0.350006103515625,0.13840250874307677
GOOGL,2025-10-17T15:40:00,2025-10-17T15:40:00.000000,253.24000549316406,253.41000366210938,252.94000244140625,252.97999572753906,253.24000549316406,-0.260009765625,-0.10267325856301907
GOOGL,2025-10-17T15:45:00,2025-10-17T15:45:00.000000,253.00999450683594,253.22999572753906,252.94000244140625,253.1999969482422,252.97999572753906,0.220001220703125,0.08696388031410499
GOOGL,2025-10-17T15:50:00,2025-10-17T15:50:00.000000,253.19000244140625,253.7899932861328,252.88999938964844,253.4499969482422,253.1999969482422,0.25,0.09873617812527213
GOOGL,2025-10-17T15:55:00,2025-10-17T15:55:00.000000,253.4600067138672,253.60899353027344,253.17999267578125,253.32000732421875,253.4499969482422,-0.1299896240234375,-0.05128807480316643
GOOGL,2025-10-20T09:30:00,2025-10-20T09:30:00.000000,254.69000244140625,255.5800018310547,254.22999572753906,255.38499450683594,253.32000732421875,2.0649871826171875,0.8151693995390801
GOOGL,2025-10-20T09:35:00,2025-10-20T09:35:00.000000,255.3699951171875,256.3800048828125,255.0800018310547,255.36000061035156,255.38499450683594,-0.024993896484375,-0.009786752167111362
GOOGL,2025-10-20T09:40:00,2025-10-20T09:40:00.000000,255.47000122070312,256.1400146484375,255.28500366210938,255.5800018310547,255.36000061035156,0.220001220703125,0.08615336003183217
GOOGL,2025-10-20T09:45:00,2025-10-20T09:45:00.000000,255.5800018310547,256.260009765625,255.33070373535156,255.9604949951172,255.5800018310547,0.3804931640625,0.14887438819020601
GOOGL,2025-10-20T09:50:00,2025-10-20T09:50:00.000000,255.97000122070312,256.0,254.27999877929688,254.5050048828125,255.9604949951172,-1.4554901123046875,-0.5686385753912739
GOOGL,2025-10-20T09:55:00,2025-10-20T09:55:00.000000,254.5050048828125,255.13999938964844,254.32000732421875,255.10000610351562,254.5050048828125,0.595001220703125,0.2337876306114667
GOOGL,2025-10-20T10:00:00,2025-10-20T10:00:00.000000,255.09500122070312,255.8699951171875,254.9600067138672,255.58999633789062,255.10000610351562,0.489990234375,0.19207770390102208
GOOGL,2025-10-20T10:05:00,2025-10-20T10:05:00.000000,255.58999633789062,256.2699890136719,255.4199981689453,256.2099914550781,255.58999633789062,0.6199951171875,0.24257409369334818
GOOGL,2025-10-20T10:10:00,2025-10-20T10:10:00.000000,256.1726989746094,256.19500732421875,255.57000732421875,255.73500061035156,256.2099914550781,-0.4749908447265625,-0.18539122616919634
GOOGL,2025-10-20T10:15:00,2025-10-20T10:15:00.000000,255.75,256.17999267578125,255.4499969482422,255.63999938964844,255.73500061035156,-0.095001220703125,-0.03714830604977407
GOOGL,2025-10-20T10:20:00,2025-10-20T10:20:00.000000,255.64999389648438,255.83990478515625,255.33999633789062,255.7050018310547,255.63999938964844,0.06500244140625,0.025427335926085957
GOOGL,2025-10-20T10:25:00,2025-10-20T10:25:00.000000,255.69000244140625,256.3500061035156,255.60000610351562,256.0849914550781,255.7050018310547,0.3799896240234375,0.1486046895064251
GOOGL,2025-10-20T10:30:00,2025-10-20T10:30:00.000000,256.0815124511719,256.2898864746094,255.8699951171875,255.89999389648438,256.0849914550781,-0.18499755859375,-0.07224068757118157
GOOGL,2025-10-20T10:35:00,2025-10-20T10:35:00.000000,255.89500427246094,256.0799865722656,255.7100067138672,255.97000122070312,255.89999389648438,0.07000732421875,0.02735729811977607
